="",="(1)",="(2)",="(3)"
="",="ols",="fe",="re"
="size",="0.040***",="0.160***",="0.106***"
="",="(10.91)",="(18.72)",="(16.85)"
="ndts",="-0.355***",="-0.067",="-0.202***"
="",="(-12.44)",="(-1.52)",="(-4.33)"
="tang",="0.047***",="0.074***",="0.075***"
="",="(2.66)",="(3.37)",="(3.43)"
="npr",="-0.423***",="-0.171***",="-0.208***"
="",="(-16.22)",="(-8.56)",="(-10.09)"
="tshr",="0.032*",="-0.477***",="-0.149***"
="",="(1.73)",="(-7.97)",="(-3.81)"
="tobin",="-0.033***",="-0.004",="-0.016***"
="",="(-5.39)",="(-0.79)",="(-2.95)"
="_cons",="-0.300***",="-2.769***",="-1.709***"
="",="(-3.64)",="(-16.21)",="(-13.11)"
="N",="3066",="3066",="3066"
="r2_a",="0.252",="0.439",=""
="F",="147.683",="101.859",=""
="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
